,description,charge
508,AUGMENT DISTAL LEFT FEMORAL #5 5M,"6,377"
509,AUGMENT DISTAL RT FEMORAL #3 5MM,"6,377"
510,AUGMENT FEM TRIATH SZ5 5540A502,"6,377"
511,AUGMENT FEM TRIATHSZ4 0MM5541A401,"6,698"
512,AUGMENT FEM TRIATHSZ4 5MM5540A401,"6,377"
513,AUGMENT FEM TRIATHSZ65MM5540A602,"6,377"
514,AUGMENT POSTERIOR 5MM SCREW SZ D,"5,894"
515,AUGMENT POSTERIOR FEMORAL,"6,377"
516,AUGMENT TIBIAL HALF BLOCK5545A101,"5,749"
517,AUGMENTATION DISTAL 3.0 (96-0860),"4,158"
518,"AUGMENTIN SUSP, 125MG/5ML",189
519,"AUGMENTIN SUSP, 200MG/5ML",11
520,"AUGMENTIN SUSP, 250MG/5ML",41
521,"AUGMENTIN SUSP, 400MG/5ML",20
522,AUGMENTIN TAB 500MG,21
523,"AUGMENTIN TAB, 250MG",34
524,AUTOLOGOUS BLOOD UNIT PROCESSING,632
525,"AVITENE HEMOSTAT, 70MM X 35MM",619
526,"AVULSION OF NAIL PLATE, SINGLE",493
527,AXILLARY SHEATHKITIMPELLA00520011,"1,460"
528,AXLE 150480,"2,625"
529,AXLE FOR SM DISTAL FEMUR 64952115,"6,847"
530,"AZACITIDINE, PER 1 MG, INJ(100MG)",35
531,AZATHIOPRINE @ 50 MG TAB (ORAL),13
532,AZITHROMYCIN,151
533,"AZITHROMYCIN CAP, 250MG",42
534,"AZITHROMYCIN SUSP, 200MG/5ML",33
535,"AZITHROMYCIN,@ 500MG, INJECTION",51
536,"AZITHROMYCIN,@ 500MG,INJ (50-PED)",41
537,"AZITHROMYCIN,@ 500MG,INJ (A-VANT)",67
538,AZTREONAM IN DEXTROSE 5% INF 2G,453
539,"AZTREONAM IN DEXTROSE 5% INF, 1G",227
540,"AZTREONAM INJ, 1GM (VIAL)",224
541,"AZTREONAM, 2 GM, INJ (VIAL)",455
542,B CELLS TOTAL COUNT,759
543,B PERTUSSIS/PARA IGA AB,312
544,B PERTUSSIS/PARA IGG AB,312
545,B PERTUSSIS/PARA IGM AB,312
546,B12 DETERMINATION,353
547,"BACITRACIN 50,000U INJ",68
548,BACITRACIN OINT (15G),11
549,BACITRACIN OINT 30GM,32
550,BACITRACIN OINT PKTS,1
551,BACITRACIN OPHTH OINT 3.5GM,424
552,"BACLOFEN TAB, 10MG",3
553,"BACTERIAL SCREEN, SINGLE ORGANISM",240
554,"BACTRIM INJ, 80MG TMP/5ML 10ML",76
555,BACTRIM SUSPENSION 20ML,2
556,"BACTRIM TAB, 400/80",4
557,"BACTRIM-DS TAB, 800/160",2
558,BAG NEURO EXT DRAIN CODMAN821732,211
559,BAG RESUS ADULT MSK & 02,51
560,BAG SPECIMEN MONARCH,459
561,BALDE SAW 90X13X1.19 6113169090,255
562,BALL ARTICULEZE 28 +1.5 GR,"3,488"
563,BALL LUTONIX035X150 LX3513051505F,"10,508"
564,BALL TIP NEURO PROBE 302404000160,739
565,"BALL.DILAT.IC VASOSPASM,EA.ADDL.","4,652"
566,"BALL.DILAT.IC VASOSPASM,INIT.VESS","11,487"
567,BALL.DIL-URETRL STRICT-IMAG.GUID,"2,930"
568,"BALLO DISTEN,1500CC OMS-PDBS2","1,955"
569,BALLOON CUTTING 8MMX2CMX90CM,"4,083"
570,BALLOON FOR BFUC160F MAJ1351,118
571,BALLOON PUMP PERCUT INSERT,"16,120"
572,BALLOON PUMP PERCUT.REMOVAL,"1,307"
573,"BALLOON, VALVULOPLASTY","3,958"
574,"BALLOON,CAROTID,PTA,AVIATOR,CORDI","2,984"
575,BALMEX OINT (60GM),14
576,BAND ANNULO MITRAL CG FUTURE 28MM,"16,846"
577,"BAR,ARCH,DENTAL,ERICH",207
578,"BAR,LOCKING,(141205)",867
579,BARIUM ENEMA,"1,048"
580,BARIUM ENEMA WITH AIR,"1,248"
581,BARRIER ADHESINTERCEED3X4MESH4350,"1,805"
582,BARTONELLA ANTIBODY PANEL,240
583,BASE PL TIBMAKOREST SZ3 LM 180603,"6,266"
584,BASE PL TIBMAKOREST SZ3 RM 180613,"6,266"
585,BASE TIB ATTUNE CEM SZ3 150680003,"8,027"
586,BASE TIB ATTUNE REV SZ6 150640006,"18,944"
587,BASE TIB ATTUNE ROT SZ4 150680004,"8,027"
588,BASE TIB ATTUNE ROT SZ5 150680005,"8,027"
589,BASE TIB ATTUNE ROT SZ6 150680006,"5,499"
590,BASE TIB ATTUNE ROT SZ7 150660007,"28,834"
591,BASE TIB ATTUNE ROT SZ7 150680007,"8,027"
592,BASE TIB ATTUNE SZ2 150600002,"5,867"
593,BASE TIB ATTUNE SZ3 150600003,"5,867"
594,BASE TIB ATTUNE SZ3 150610003,"8,027"
595,BASE TIB ATTUNE SZ3 150640003,"18,944"
596,BASE TIB ATTUNE SZ3 151710306,"13,143"
597,BASE TIB ATTUNE SZ3 CEM 150660003,"52,425"
598,BASE TIB ATTUNE SZ4 150600004,"5,867"
599,BASE TIB ATTUNE SZ4 150610004,"8,027"
600,BASE TIB ATTUNE SZ4 15064004,"18,944"
601,BASE TIB ATTUNE SZ5 150600005,"5,867"
602,BASE TIB ATTUNE SZ5 15061005,"8,027"
603,BASE TIB ATTUNE SZ5 150660005,"28,834"
604,BASE TIB ATTUNE SZ6 150600006,"5,867"
605,BASE TIB ATTUNE SZ6 150610006,"8,027"
606,BASE TIB ATTUNE SZ6 150660006,"28,834"
607,BASE TIB ATTUNE SZ7 150600007,"5,867"
608,BASE TIB ATTUNE SZ7 150610007,"8,027"
609,BASE TIB ATTUNE SZ8 150600008,"5,499"
610,BASE TIB ATTUNE SZ8 15068008,"8,027"
611,BASE TIB ATTUNE SZ9 150600009,"5,499"
612,BASE TIB ATTUNEBEAR SZ5 150640005,"18,944"
613,BASE TIB GENESIS POLYSZ6 71420458,"4,203"
614,BASE TIBIAL SZ 2 RT,"13,801"
615,BASE TIBIAL SZ 3 LT,"13,801"
616,BASE TIBIAL SZ 3 RT,"13,801"
617,BASE TIBIAL SZ 4 LT,"13,801"
618,BASE TIBIAL SZ 4 RT,"13,801"
619,BASE TIBIAL SZ 5 LT,"13,801"
620,BASE TIBIAL SZ 5 RT,"13,801"
621,BASE TIBIAL SZ 6 RT (71424016),"13,801"
622,BASE TIBIAL SZ 7 LT 71424007,"13,801"
623,BASE TIBIAL SZ 7 RT,"13,801"
624,BASEPL TIB MAKO RESTOR SZ5 180615,"6,266"
625,BASEPLATE # 7 TIBIAL TRIATHLON,"4,864"
626,BASEPLATE #4 TIBIAL TRIATHLON,"4,864"
627,BASEPLATE #8 PRIMARY TIBIAL TRIAT,"4,864"
628,BASEPLATE AEQ PERFORM REV25DWJ401,"9,808"
629,BASEPLATE AEQ PERFORM REV25DWJ505,"20,512"
630,BASEPLATE AEQ REV 25X25 DWE725,"4,075"
631,BASEPLATE AEQ REV 25X30 DWE730,"4,348"
632,BASEPLATE AEQ REV 25X35 DWE735,"4,075"
633,BASEPLATE AEQ REV 25X40 DWE740,"4,075"
634,BASEPLATE AEQ REV 29X25 DWE825,"4,075"
635,BASEPLATE AEQ REV 29X30 DWE830,"5,243"
636,BASEPLATE GLEN AEQ REV29MM DWD067,"10,510"
637,BASEPLATE GLEN RSA 28MM 55722800,"10,278"
638,BASEPLATE GLENAEQREV25X25MMDWD171,"11,229"
639,BASEPLATE GLENOIDAEQ25X15MMDWD170,"9,344"
640,BASEPLATE JOURN TIB SZ1 74022221,"2,919"
641,BASEPLATE TIB #1 TRIATH TOT KNEE,"4,864"
642,BASEPLATE TIB #2 TRIATH TOT KNEE,"4,864"
643,BASEPLATE TIB #5 TRIATH PRIMARY,"4,864"
644,BASEPLATE TIB #6 TRIATH TOT KNEE,"4,864"
645,BASEPLATE TIB JOURN SZ4 74022224,"5,255"
646,BASEPLATE TIB JOURN SZ7 74022227,"4,925"
647,BASEPLATE TIB JOURN SZ8 74022228,"2,919"
648,BASEPLATE TIB JOURNEYSZ5 74022215,"5,377"
649,BASEPLATE TIB LEG HK SZ2 71421302,"25,505"
650,BASEPLATE TIB LEG HK SZ4 71421304,"25,505"
651,BASEPLATE TIB LEG REV SZ5 7193579,"12,435"
652,BASEPLATE TIB LEG SZ3 LFT71421303,"25,505"
653,BASEPLATE TIB LEGION SZ3 71421903,"27,214"
654,BASEPLATE TIB LEGREV SZ6 71933572,"12,435"
655,BASEPLATE TIB MAKO RESTSZ6 180606,"6,266"
656,BASEPLATE TIB OSS 59X160X9 161022,"17,928"
657,BASEPLATE TIB OSS 63X160X9 161038,"18,150"
658,BASEPLATE TIB RESTMAKO SZ6 180616,"6,266"
659,BASEPLATE TIB RESTORIS SZ4 180604,"6,266"
660,BASEPLATE TIB RESTORIS SZ4 180614,"6,266"
661,BASEPLATE TIB RESTORMCKSZ5 180605,"6,266"
662,BASEPLATE TIBIAL #1 (5521-B-100),"13,582"
663,BASEPLATE TIBIAL #3 5521B300,"14,153"
664,BASEPLATE TIBIAL #4 5521-B-400,"14,153"
665,BASEPLATE TIBIAL #5,"14,153"
666,BASEPLATE TIBIAL #6,"14,153"
667,BASEPLATE TIBIAL#3TRIATH TOT KNEE,"4,864"
668,BASEPLATE TIBJOURNEY SZ2 74022222,"5,068"
669,BASEPLATE TRIATHLON #2,"14,153"
670,BASEPLATE TRIATHLON (5521-B-700),"14,153"
671,BASIC METABOLIC PANEL,200
672,"BASIC METABOLIC PANEL(CALCIUM,ION",200
673,BASIC PRE/POST BRONCHIO,512
674,BASIC RADIATION DOSIMETRY CALC,454
675,BASKET DIMENSION STONE SZ 042313,"1,162"
676,BASKET DIMENSION STONE SZ 042316,"1,162"
677,BASKET RET 1.3FX120CM M0063903010,"1,782"
678,BASKET RETREIVAL 10X1.2 FG51D,"1,272"
679,BASKET RETREIVAL 11X1.2 FG52D,"1,272"
680,BEARING 28X42 EP200148,"10,117"
681,BEARING 28X44 SZF EP200150,"10,117"
682,BEARING ARCOM 28X44 XL200150,"8,013"
683,BEARING ARCOM XL 28X38 XL200144,"8,013"
684,BEARING ARCON 28X40 XL200146,"8,013"
685,BEARING CONSTRAINED 11146752,"10,631"
686,BEARING HUM 44X36 EP115393,"13,030"
687,BEARING LS TIB OSS SZ16 161096,"4,951"
688,BEARING MENISCAL MED LT 3MM,"4,768"
689,BEARING MENSICAL MED LT 4MM,"4,768"
690,BEARING TIB OSS 14MM 161095,"4,951"
691,BEARING TIB PCM 12X63 12155612,"10,129"
692,BEARING TIBIAL VANGUARD,"4,885"
693,BED MOBILITY PHYSICAL THERAPY,175
694,BEHAV CHNG SMOKING 3-10 MIN,49
695,BEHAVRAL/QUALIT.ANAL.-VOICE&RESON,583
696,BELLADONNA ALKALOIDS-PB ELIXER,21
697,BELLADONNA/OPIUM SUPP 16.2MG/30MG,156
698,BELLADONNA/PHENOBARBITAL ELIXIR,205
699,BENADRYL/LIDOCAINE/MYLANTA 180ML,31
700,BENADRYL/LIDOCAINE/NYSTATIN SUSP,112
701,"BENAZEPRIL HCL TAB,5MG",6
702,"BENAZEPRIL TAB, 10MG",5
703,"BENDAMUSTINE @1MG,BENDEKA (100MG)",168
704,"BENDAMUSTINE @1MG,TREANDA (100MG)",177
705,"BENZATROPINE TAB ,1MG",3
706,BENZOCAINE SPRAY 85GM,32
707,BENZOCAINE/TETRACAINE SPRAY(20GM),410
708,BENZOIN TINCTURE 60ML,24
709,"BENZONATATE PERLES CAP, 100MG",3
710,"BENZSOCAINE DENTAL SOLN, 20% 60ML",177
711,"BENZTROPINE MESYLATE,@ 1MG,INJ(2)",169
712,"BENZTROPINE TAB, 0.5MG",1
713,"BENZTROPINE TAB,2MG",1
714,BETA 2 MICROGLOBULIN,383
715,BETA-HYDROXYBUTYRIC ACID,434
716,"BETAMETHASONE SOD INJ, 6MG/ML (5M",35
717,"BETAXOLOL OPTH SOLN, 0.5% 2.5ML",263
718,BETAXOLOL OPTH SUSP 0.25% 5ML,919
719,"BETHANECHOL TAB, 10MG",11
720,"BETHANECHOL TAB,25 MG",15
721,"BEVACIZUMAB, 10 MG, INJ, (100MG)",482
722,"BEVACIZUMAB, PER 10 MG, INJ (400)",482
723,"BICALUTAMIDE TAB, 50MG",93
724,BILE ACIDS TOTAL,404
725,BILE DUCT BIOPSY SING OR MULTI,"4,888"
726,BILE DUCT PORTOL VEIN CAT,"1,775"
727,"BILIRUBIN DIRECT, SERUM",119
728,"BILIRUBIN TOTAL, SERUM",119
729,BIOCARTILAGE 1CC ABS1010BC,"5,721"
730,BIODESIGN HERNIA RPR 20X30 G48216,"65,123"
731,BIOGLUE CARTRIDGE 10ML PREFILLED,"5,178"
732,BIOPHYSICAL PROFILE W/NON-STRESS,955
733,BIOPHYSICAL PROFILE W/O NON-STRES,664
734,BIOPSY BONE SUPERFICIAL,"1,219"
735,BIOPSY LUNG OR MEDIDSTINU,"2,019"
736,BIOPSY MAXCORE 18GX20CM MC1820,244
737,"BIOPSY OF SKIN,SUBC TISSUE,SINGLE",680
738,BIOPSY THYROID PERCUTAN. NED. COR,679
739,"BIOPSY/EXC.LYMPH NODES,NEEDLE","2,340"
740,BISACODYL 10MG SUPP,1
741,"BISACODYL TAB EC, 5MG",0
742,BISMUTH SUBSALICYLATE SUSP (120ML,7
743,"BISOPROLOL TAB, 10MG",7
744,"BISOPROLOL TAB, 5MG",8
745,BIT DISC 9.5MM 423872,"4,443"
746,BIT DRILL 1.1MM,387
747,BIT DRILL 1.1MM (310.111),387
748,BIT DRILL 1.4X150MM 702448,858
749,BIT DRILL 1.4X70 P991951407,"1,532"
750,BIT DRILL 1.5/85MM,429
751,BIT DRILL 1.5MM,416
752,BIT DRILL 1.5X50 2544905,744
753,BIT DRILL 1.5X96MM QCK COUP310507,988
754,BIT DRILL 1.6 P991951607,766
755,BIT DRILL 1.8MM 310.509,937
756,BIT DRILL 2.0 100MM 00480610020,521
757,BIT DRILL 2.0MM (310.201),416
758,BIT DRILL 2.0MM 703701,841
759,BIT DRILL 2.0MM AR894316,573
760,BIT DRILL 2.1MM IS1113,"1,310"
761,BIT DRILL 2.3X289MM 702743,447
762,BIT DRILL 2.5 00483620525,736
763,BIT DRILL 2.5 324153,"1,652"
764,BIT DRILL 2.5 DIAMOND 00480611025,521
765,BIT DRILL 2.5/125MM,588
766,BIT DRILL 2.5MM 700342,588
767,BIT DRILL 2.5MM 829029070,587
768,BIT DRILL 2.5MM AR894313,529
769,BIT DRILL 2.5MM AR894330,529
770,BIT DRILL 2.5MM AR894342,511
771,BIT DRILL 2.5MM DISP DB25,619
772,BIT DRILL 2.5X180 00480718025,"1,204"
773,BIT DRILL 2.5X180 10325180,600
774,BIT DRILL 2.6MM 703702,841
775,BIT DRILL 2.6MM AR894302,666
776,BIT DRILL 2.7 405889,"1,559"
777,BIT DRILL 2.7 CANN LRG 705250,"1,579"
778,BIT DRILL 2.7MM 00236020527,854
779,BIT DRILL 2.7MM 703703,826
780,BIT DRILL 2.7MM FOR 4.0 CAN SCREW,"2,375"
781,BIT DRILL 2.7X125MM 700348,588
782,BIT DRILL 2.9X70 829031070,514
783,BIT DRILL 2X110MM XFO082001,794
784,BIT DRILL 2X125MM 700346,549
785,BIT DRILL 2X128 0277082085S4,304
786,BIT DRILL 2X135 VAR 703896,811
787,BIT DRILL 3.0MM AR894336,716
788,BIT DRILL 3.0MM AR897030,"1,138"
789,BIT DRILL 3.2 324212,"1,249"
790,BIT DRILL 3.2 405883,"1,226"
791,BIT DRILL 3.2X145 00480614532,521
792,BIT DRILL 3.2X145MMCOMP FIT700358,894
793,BIT DRILL 3.2X230 705232,668
794,BIT DRILL 3.2X300MM DISP 702626,447
795,BIT DRILL 3.5 CANN LRG 705251,"1,579"
796,BIT DRILL 3.5MM,588
797,BIT DRILL 3.5MM 703704,885
798,BIT DRILL 3.5MM AR416035,476
799,BIT DRILL 3.5X110 00480611035,521
800,BIT DRILL 35MM 829032070,639
801,BIT DRILL 4.0 AR416040,730
802,BIT DRILL 4.2/130MM,908
803,BIT DRILL 4.2/180MM STERILE,908
804,BIT DRILL 4.2/340MM STERILE,908
805,BIT DRILL 4.2X360MM 13203642S,484
806,BIT DRILL 4.3 324213,"1,249"
807,BIT DRILL 4.3X19 NCB 0200024346,714
808,BIT DRILL 4.3X24 NCB 200021346,714
809,BIT DRILL 4.5MM,894
810,BIT DRILL 4.5X216MM 705078,"1,281"
811,BIT DRILL 4.9 702601,"1,645"
812,BIT DRILL 4.9 CANN 705252,"1,579"
813,BIT DRILL 4MM 31406182,"1,576"
814,BIT DRILL 4X70 829033070,546
815,BIT DRILL 5X230MM AO 18065000S,908
816,BIT DRILL 8.00 CANN 702613,"2,149"
817,BIT DRILL AEQ PERFORM 3.2 MWJ126,742
818,BIT DRILL AEQ REV3MM SGLUS DWD055,662
819,BIT DRILL ASNIS 1.7MM 4520011,409
820,BIT DRILL ATLANTIS 11MM 7080510,810
821,BIT DRILL AVIATOR 10MM 48771610,"2,305"
822,BIT DRILL AVIATOR 12MM 48771612,"2,305"
823,BIT DRILL AXOS3.6X122MM 4535020,876
824,BIT DRILL AXSOS 2.5 703966,"1,063"
825,BIT DRILL AXSOS 2.5X216 705025,"1,239"
826,BIT DRILL AXSOS 2.6X135 703691,732
827,BIT DRILL AXSOS 2.7X135 703695,732
828,BIT DRILL AXSOS 2X135 703690,732
829,BIT DRILL AXSOS 3.1X216 705031,741
830,BIT DRILL AXSOS 3.2X216 705032,"1,239"
831,BIT DRILL AXSOS 3.5 703978,"1,063"
832,BIT DRILL AXSOS 3.5X135 703694,947
833,BIT DRILL AXSOS 4.3 X216 705043,774
834,BIT DRILL BONE 3.2/100MM HIGH-PER,194
835,BIT DRILL CANN 1.7 AR8610DB25C,"1,022"
836,BIT DRILL CANN 2.0 0023601720,"1,379"
837,BIT DRILL CANN 2.3 P991102312,"1,292"
838,BIT DRILL CANN 2.75 P409202707,"1,292"
839,BIT DRILL CANN 3.0MM AR8610DB43C,"1,022"
840,BIT DRILL CANN 3.5 P409203507,"1,292"
841,BIT DRILL CANN 4.3 AR8610DB65,"1,022"
842,BIT DRILL CANN LRG DISP 702611,"1,463"
843,BIT DRILL CANNULATED 2.0/15MM QC,"2,395"
844,BIT DRILL CANNULATED 5.0MM,"2,701"
845,BIT DRILL DART 2.5MM DSDS0025,"1,261"
846,BIT DRILL EQUINOXE 2X3.2 3212000,"1,479"
847,BIT DRILL EVOLVETRIAD2.0 49510112,992
848,BIT DRILL FIBULOCK 2.5 CS6125,117
849,BIT DRILL FIXOS 2.7MM XFO094501,"4,729"
850,BIT DRILL FIXOS2.5X32MM XF0073200,"1,607"
851,BIT DRILL GAMMA 42 X 300,841
852,BIT DRILL GEM 2.5X40 DRLLSSC25040,508
853,BIT DRILL GEM 2X40 DRLLSSC20040,508
854,BIT DRILL INFINITY 2.4 G3606010,"2,148"
855,BIT DRILL LCP 250/225 03113023,757
856,BIT DRILL LCP2.8 250/225 03113024,819
857,BIT DRILL MENOFIX 2.0 MS2620,"2,791"
858,BIT DRILL NAIL LONG4.3 415S002352,"1,553"
859,BIT DRILL NCB 2.5X245 0200024342,714
860,BIT DRILL NCB 3.3 0200024133,"1,747"
861,BIT DRILL NCB 3.3X195 0200024118,784
862,BIT DRILL NCB 4.3X195 0200024002,714
863,BIT DRILL NCB 4.3X215 0200024003,784
864,BIT DRILL PHALINX 2.55 45303055,"1,693"
865,BIT DRILL QUICK COUPLING (310.23),715
866,BIT DRILL QUICK COUPLING 3.2MM,377
867,BIT DRILL RINGLOC3.2X30MM31323230,589
868,BIT DRILL RSA 3.1 59011126,560
869,BIT DRILL SILOK CANN 7.5 639217,"3,153"
870,BIT DRILL SUPERELAS 2MM XFO012002,"1,671"
871,BIT DRILL TM REV 2.5MM47430904601,"1,943"
872,BIT DRILL TRAB 6MM 47430706100,"3,091"
873,BIT DRILL TWIST 1.4X27MM 6014326,393
874,BIT DRILL TWIST2.2 X105 500220307,744
875,BIT DRILL TWIST2.2X70 500220107,744
876,BIT DRILL UNIV 1X50MM 6MM 6010506,764
877,BIT DRILL VALOR 4.3 415S002351,"1,553"
878,BIT DRILL VERTEX2.4MM SPIN7756010,"2,591"
879,BIT DRILL VPC 3.4 231201130,"2,043"
880,BIT DRILL VPC CANN 1.8 231201025,"2,102"
881,BIT EXTRACTOR 15.0 18066119,"2,204"
882,BIT SCREWDRIVERTIP3.5MMSGL DWD167,"1,114"
883,"BIVALIRUDIN, PER 1MG, INJ (250)",26
884,BLADE 25MM X 9MM 2296-33-111,213
885,BLADE 4.5MM 17 LNGCURV 7205323,499
886,BLADE 8MM SH MRI OSTEO47998602120,934
887,BLADE ACROBAT 1.5IN STER DB1000,488
888,BLADE BONECUT 4.5X180 7210979,737
889,BLADE CROSS 53X40X.64MM5400134285,213
890,BLADE DERM1.25-4.25IN D0880000010,204
891,BLADE FULL RAD 5.5MM 7205307,324
892,BLADE HO RECIP HEAVY DUTY OFFSET,181
893,BLADE HOOK NARROW MEDIUM IMPLANT,"5,130"
894,BLADE INCISOR PLUS ELITE 4.5,648
895,BLADE LONG 4.5 CURVED I.P.E.,713
896,BLADE MICRO 13X39X.51MM 229633526,249
897,BLADE MICRO FEATH 25DEGDISP K5310,388
898,BLADE NARROW LARGE IMPLANTABLE,"6,178"
899,BLADE NOTCHBLASTER 4.0 7205328,324
900,BLADE OST 10MM SHRTDISP4799862121,"1,089"
901,BLADE OSTEO 12X93MM 62100740,969
902,BLADE OSTEOME GRAY8X80 62100730,969
903,BLADE OSTEOTOME 12MM 4799862122,"1,032"
904,BLADE OSTEOTOME 8MM 4799862120,654
905,BLADE OXFORD STABLE CUT 506298,"1,751"
906,BLADE RECIPROCATING DOUBLE SIDED,172
907,BLADE SAG DUAL CUT (11 X 1.2),181
908,BLADE SAW 12X9X.38MM 2296003231,228
909,BLADE SAW 18.5X7X.38 22963114,248
910,BLADE SAW 25X9X.38 2296003111,205
911,BLADE SAW 34.5X9X.64MM 2108148,137
912,BLADE SAW 41X19.5X.38MM 22963254,213
913,BLADE SAW 79.5X25X1.24MM SAG,137
914,BLADE SAW 90X18X1.27 618812790,267
915,BLADE SAW 90X25X1.19 4125119090,239
916,BLADE SAW 90X25X1.27 6125127090,267
917,BLADE SAW GIGLI 280802,152
918,BLADE SAW INBONE 7 NAR 200138107S,"1,010"
919,BLADE SAW MAKO 116170,"1,693"
920,BLADE SAW MAKO NAR 116171,"1,665"
921,BLADE SAW SAGITA/OSC REPLACES #12,267
922,BLADE SAW SAGITAL XWIDE 210814000,137
923,BLADE SHAVER 2.9 DISP 72201520,496
924,BLADE SHAVER 2.9MMX7CM 72201509,715
925,BLADE SHAVER 2MMX7CM 72201507,715
926,BLADE SHAVER 3.5MM FR 7205305,385
927,BLADE SHAVER 3.5X7 DISP 72201510,438
928,BLADE SHAVER 4.5 STR 7205316,237
929,BLADE SHAVER DYNOMICS3.5 72201519,496
930,BLADE SHAVER MENISEC 3.0MM010640,149
931,BLADE SHAVERDYONICS2.9X7 72201513,745
932,BLADE SHAVERINCISOR4.5DISP7205345,385
933,BLADE SINUS RAD 40 CURVED 4.0MM,992
934,BLADE SINUS RAD 60 CURVED 4.0MM,"1,079"
935,BLADE SINUS TRICUT STRAIGHT 4.0M,"1,090"
936,BLADE SMALL NARROW IMPLANTABLE,"5,130"
937,BLADE STONECUTTER 5.5MM (6/BX),385
938,BLADE TEND GRAFTSTRIP10MMAR238510,"1,022"
939,BLADE TURBINATE 2.0 1882040HR,"1,130"
940,BLADE TURBINATE 2.9MM 1882940HR,"1,130"
941,BLADE XLONG 50X.64X13MM2296310855,213
942,"BLEOMYCIN SULF,@ 15UNITS,INJ (30)",259
943,BLEPS,"7,861"
944,BLEPS AFTER DRUG INFUSION,"3,033"
945,BLEPS W/CS,"4,090"
946,BLEPS W/LV,"1,011"
947,BLEPS W/MAPPING,"6,836"
948,BLOCK CORT 5X14X11MM 400541,"6,159"
949,BLOCK CORT LORD 7X14X11 400741,"7,451"
950,BLOCK CORT LORD 9X14X11MM 400941,"6,834"
951,BLOCK CORT LORD6X14X11 400641,"6,834"
952,BLOCK CORTLORDOTIS8X14X11MM400841,"7,451"
953,BLOCK FEM AUG NEXGSZG 00599003724,"5,762"
954,BLOCKAUGTIBNEXG SZ7.5 00598800726,"5,576"
955,BLOCKER MANTIS REUX LT 48289999,"1,664"
956,BLOCKER XIA 3 1LEV 48230000,"1,851"
957,BLOCKER XIA SMALL 4885000,"1,664"
958,BLOOD ADMINISTRATION CHARGE,"2,580"
959,BLOOD CULTURES X 1,286
960,BLOOD DRAW FROM IMPLANTED VEN.DEV,77
961,BLOOD GAS 02 SAT ONLY,70
962,BLOOD L/R IRRAD,"1,294"
963,"BLOOD PHENOTYPING, RH",162
964,BLOOD SPLIT UNIT,467
965,BLOOD SUGAR,69
966,BLOOD SUGAR POST PRANDIAL,69
967,BLOOD TRANSFUSION SERVICE,"1,078"
968,BLOOD TRANSFUSION SERVICE,"1,437"
969,"BLOOD TYPING, ABO",130
970,"BLOOD TYPING, AG, PATIENT",164
971,"BLOOD TYPING, ANTIGEN TESTING OF",197
972,"BLOOD TYPING, RH",80
973,"BLOOD,OCCULT,QUAL.OTHER SOURCES",76
974,BLS EMERGENCY TRANSPORT,"1,278"
975,BLS NON-EMERGENCY TRANSPORT,943
976,BODY CONE RESTOR +20 29MM62761229,"21,449"
977,BODY CONE RESTOR+30MM 6276-1-325,"23,000"
978,BODY FLUID ALBUMIN,116
979,BODY FLUID AMYLASE,170
980,BODY FLUID GLUCOSE,69
981,BODY FLUID LDH,144
982,BODY FLUID PROTEIN,112
983,BODY FLUID SPEC GRAV,59
984,BODY RES MODULAR CONE 21X30MM,"23,000"
985,BOLT FEMORAL ADAPTOR,"1,175"
986,BOLT FEMORAL ADAPTOR +2/-2 OFFSET,"1,175"
987,BOLT HALF PIN FIX 6MM,982
988,BOLT HINGE MED 49341008,512
989,BOLT TRUELOCK 8MM 5411540,"1,395"
990,BOLT TRUELOK WIRE FIX 541152,512
991,BOLT WIRE ADAPT LONG 49331005,"1,063"
992,BOLT WIRE HOFF 49331002,349
993,BOLT WIRE HOFF LRF LNG 49331003,349
994,BOLTWIRE ADAPT SHORT 49331004,"1,063"
995,BOLTWIRE HOFFMAN LRF SHT 49331001,349
996,BONE 8MM PLANER P4090000801,"1,292"
997,BONE ANCHOR W/DEL SYST 2503A,"4,437"
998,BONE BIOPSY DEEP,"2,240"
999,BONE CANCELLOUS 15CC CUBE,"2,618"
1000,BONE CANCELLOUS CRUSHED CHIPS30CC,"4,417"
1001,BONE CULTURE,204
1002,BONE IMAGING SPECT,"2,209"
1003,BONE MARROW ASPIRATION,"2,610"
1004,"BONE MARROW BX,NEEDLE OR TROCAR","3,552"
1005,BONE MARROW KIT ANGELSYS ABS10062,"5,721"
1006,"BONE MARROW, BIOPSY,NEEDLE/TROCAR","3,552"
1007,BONE MATRIX BIO4 10CC 31022110,"22,418"
1008,BONE MATRIX BIO4 10CC PS51010,"16,580"
1009,BONE MATRIX BIO4 2.5CC 31022102,"7,443"
1010,BONE MATRIX BIO4 2.5CC PS51002,"7,443"
1011,BONE MATRIX BIO4 5CC 31022105,"13,136"
1012,BONE MATRIX BIO4 5CC PS51005,"13,136"
1013,BONE MATRIX INFUSE MEDIUM BMP,"31,704"
1014,BONE OSTEOTOMY CORTICAL WEDGE,"9,881"
1015,BONE PLUG LARGE ARTISAN 62155021,464
1016,"BONE PLUG,MED 13-17MM CANL HOWM",464
1017,BONE SCAN BONE/JOINT LTD,"2,788"
1018,BONE SCAN BONE/JOINT TOT,"3,450"
1019,BONE/JOINT 3 PHASE STUDY,"3,014"
1020,"BORRELIA BURGDORFERI, AMPL TECH","3,137"
